,Unnamed: 0,Áö¿ªÄÚµå,¹ýÁ¤µ¿,°Å·¡ÀÏ,¾ÆÆÄÆ®,Áö¹ø,Àü¿ë¸éÀû,Ãþ,°ÇÃà³âµµ,°Å·¡±Ý¾×,¸éÀû´ç°¡°Ý,°Å·¡ÁÖ,count
52464,52464,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693,1
52465,52465,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693,1
52466,52466,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693,1
52467,52467,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693,1
52468,52468,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693,1
52469,52469,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693,1
52470,52470,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,28500,512.1293800539083,693,1
52471,52471,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693,1
52472,52472,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693,1
52473,52473,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,693,1
52474,52474,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,693,1
52475,52475,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,24000,431.26684636118597,693,1
52476,52476,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,27500,494.1599281221923,693,1
52477,52477,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,693,1
52478,52478,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,4,1988,21000,377.35849056603774,693,1
52479,52479,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,693,1
52480,52480,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693,1
52481,52481,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693,1
52482,52482,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693,1
52483,52483,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693,1
52484,52484,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693,1
52485,52485,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693,1
52486,52486,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693,1
52487,52487,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,5,1988,29000,521.1141060197664,693,1
52488,52488,11530,°³ºÀµ¿,2019-04-15,°Å¼º,270-80,47.52,4,1988,17300,364.05723905723903,693,1
52489,52489,11530,°³ºÀµ¿,2019-04-15,µ¿ÀÎ,335-1,67.36,11,1989,28500,423.0997624703088,693,1
52490,52490,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,24000,431.26684636118597,693,1
52491,52491,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,24000,431.26684636118597,693,1
52492,52492,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693,1
52493,52493,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,1,1988,29000,521.1141060197664,693,1
52494,52494,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,28000,503.14465408805034,693,1
52495,52495,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,2,1988,29000,521.1141060197664,693,1
52496,52496,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,693,1
52497,52497,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,3,1988,29000,521.1141060197664,693,1
52498,52498,11530,°³ºÀµ¿,2019-04-15,¸²°ý,199-4,55.65,4,1988,29000,521.1141060197664,693,1
52499,52499,11530,°³ºÀµ¿,2019-04-16,µÎ»ê,472,59.69,21,1997,29500,494.220137376445,693,1
52516,52516,11530,°íÃ´µ¿,2019-04-15,°íÃ´ÆÄÅ©Çª¸£Áö¿À,339,59.89,5,2009,53300,889.9649357154784,693,1
52517,52517,11530,°íÃ´µ¿,2019-04-16,°íÃ´¿ùµå¸Þ¸£µð¾Ó,343,84.96,9,2011,54000,635.5932203389831,693,1
52518,52518,11530,°íÃ´µ¿,2019-04-20,ÇÑÈ¿,52-332,69.87,7,1985,39000,558.1794761700301,693,1
52554,52554,11530,±¸·Îµ¿,2019-04-15,±Øµ¿,314,55.57,9,1984,29750,535.3608061903905,693,1
52555,52555,11530,±¸·Îµ¿,2019-04-15,ºñÁîÆ®À§Æ®±×¸°,Oct-98,15.11,15,2012,9700,641.958967571145,693,1
52556,52556,11530,±¸·Îµ¿,2019-04-15,SRÄ£¿À¾Ö,May-97,84.973,7,2009,42000,494.2746519482659,693,1
52557,52557,11530,±¸·Îµ¿,2019-04-15,±¸ÀÏ¿ì¼º,1259,84.49,2,1998,40500,479.3466682447627,693,1
52558,52558,11530,±¸·Îµ¿,2019-04-17,½Å±¸·ÎÀÚÀÌ,501,101.96,27,2007,62500,612.985484503727,693,1
52559,52559,11530,±¸·Îµ¿,2019-04-17,»ï¼º·¡¹Ì¾È,256-1,56.036,10,2004,50800,906.5600685273753,693,1
52560,52560,11530,±¸·Îµ¿,2019-04-18,±¸·ÎµÎ»ê,1265,44.64,12,1998,30500,683.2437275985664,693,1
52561,52561,11530,±¸·Îµ¿,2019-04-18,·°Å°,1257,56.11,5,1992,38250,681.6966672607379,693,1
52562,52562,11530,±¸·Îµ¿,2019-04-18,»ï¼º·¡¹Ì¾È,256-1,78.665,2,2004,57000,724.5916227038708,693,1
52563,52563,11530,±¸·Îµ¿,2019-04-19,½Å¼º¹Ì¼ÒÁö¿ò,1274,84.23,14,2003,51500,611.4211088685742,693,1
52564,52564,11530,±¸·Îµ¿,2019-04-20,·°Å°,1257,84.9,7,1992,53250,627.208480565371,693,1
52590,52590,11530,±Ãµ¿,2019-04-19,´ÙÃ»¸²(103µ¿),182-11,83.29,3,2006,35500,426.22163525033017,693,1
52595,52595,11530,½Åµµ¸²µ¿,2019-04-14,µ¿¾Æ2,644,84.90799999999999,25,2000,83000,977.5286192113819,693,1
