,date,headline,keyword
0,2009.04.05. 오후 8:40,김포신도시 소형 1500가구 늘린다,"[('김포신도시', 'LOCATION'), (' ', 'O'), ('소형', 'O'), (' ', 'O'), ('1500가구', 'QUANTITY'), (' ', 'O'), ('늘린다', 'O')]"
1,2009.04.05. 오후 7:05,유럽풍 타운하우스 ‘눈길’…알짜 최고 3억 웃돈,"[('유럽', 'LOCATION'), ('풍', 'O'), (' ', 'O'), ('타운하우스', 'O'), (' ', 'O'), ('‘눈길’…알짜', 'O'), (' ', 'O'), ('최고', 'O'), (' ', 'O'), ('3억', 'QUANTITY'), (' ', 'O'), ('웃돈', 'O')]"
2,2009.04.05. 오후 6:55,해외공사 수주 국내에서,"[('해외공사', 'O'), (' ', 'O'), ('수주', 'O'), (' ', 'O'), ('국내에서', 'O')]"
3,2009.04.05. 오후 6:55,MK 매물안내 역삼동 대로변 빌딩 145억원,"[('MK', 'ORGANIZATION'), (' ', 'O'), ('매물안내', 'O'), (' ', 'O'), ('역삼동', 'LOCATION'), (' ', 'O'), ('대로변', 'O'), (' ', 'O'), ('빌딩', 'O'), (' ', 'O'), ('145억원', 'QUANTITY')]"
4,2009.04.05. 오후 6:55,한화건설 직원 홍보모델,"[('한화건설', 'ORGANIZATION'), (' ', 'O'), ('직원', 'OCCUPATION'), (' ', 'O'), ('홍보모델', 'CIVILIZATION')]"
5,2009.04.05. 오후 6:55,분당내곡 지하차도 올해의 토목구조물,"[('분당내곡', 'LOCATION'), (' ', 'O'), ('지하차도', 'O'), (' ', 'O'), ('올해', 'DATE'), ('의', 'O'), (' ', 'O'), ('토목구조물', 'O')]"
6,2009.04.05. 오후 6:55,임대주택 대신 일반분양 늘리자,"[('임대주택', 'O'), (' ', 'O'), ('대신', 'O'), (' ', 'O'), ('일반분양', 'O'), (' ', 'O'), ('늘리자', 'O')]"
7,2009.04.05. 오후 6:54,광교ㆍ별내 7000가구 5월부터 본격 분양,"[('광교', 'LOCATION'), ('ㆍ', 'O'), ('별내', 'LOCATION'), (' ', 'O'), ('7000가구', 'QUANTITY'), (' ', 'O'), ('5월부터', 'DATE'), (' ', 'O'), ('본격', 'O'), (' ', 'O'), ('분양', 'O')]"
8,2009.04.05. 오후 6:46,강남·북 아파트값 격차 다시 커져,"[('강남', 'LOCATION'), ('·', 'O'), ('북', 'LOCATION'), (' ', 'O'), ('아파트값', 'O'), (' ', 'O'), ('격차', 'O'), (' ', 'O'), ('다시', 'O'), (' ', 'O'), ('커져', 'O')]"
9,2009.04.05. 오후 6:46,‘보금자리주택’ 궁금증 한눈에 알아보기,"[('‘보금자리주택’', 'O'), (' ', 'O'), ('궁금증', 'O'), (' ', 'O'), ('한눈에', 'O'), (' ', 'O'), ('알아보기', 'O')]"
10,2009.04.05. 오후 6:46,용인 흥덕 ‘우남퍼스트빌 리젠트’ 이달말 입주,"[('용인', 'CITY'), (' ', 'O'), ('흥덕', 'LOCATION'), (' ', 'O'), ('‘', 'O'), ('우남퍼스트빌 리젠트', 'ARTIFACT'), ('’', 'O'), (' ', 'O'), ('이달말', 'DATE'), (' ', 'O'), ('입주', 'O')]"
11,2009.04.05. 오후 6:46,분얀정보회현동에 ‘리더스뷰 남산’ 조성 外,"[('분얀정보회현동', 'LOCATION'), ('에', 'O'), (' ', 'O'), ('‘', 'O'), ('리더스뷰 남산', 'LOCATION'), ('’', 'O'), (' ', 'O'), ('조성', 'O'), (' ', 'O'), ('外', 'O')]"
12,2009.04.05. 오후 6:46,보령 코아루 109㎡ 5300만원만 내면 입주,"[('보령', 'LOCATION'), (' ', 'O'), ('코아루', 'ARTIFACT'), (' ', 'O'), ('109㎡', 'QUANTITY'), (' ', 'O'), ('5300만원만', 'QUANTITY'), (' ', 'O'), ('내면', 'O'), (' ', 'O'), ('입주', 'O')]"
13,2009.04.05. 오후 6:46,업계소식베트남 타이슨사와 설계계약 外,"[('업계소식', 'O'), ('베트남', 'COUNTRY'), (' ', 'O'), ('타이슨', 'ORGANIZATION'), ('사와', 'O'), (' ', 'O'), ('설계계약', 'O'), (' ', 'O'), ('外', 'O')]"
14,2009.04.05. 오후 6:35,국민임대 2만1천가구 입주자 모집합니다,"[('국민', 'CIVILIZATION'), ('임대', 'O'), (' ', 'O'), ('2만1천가구', 'QUANTITY'), (' ', 'O'), ('입주자', 'CIVILIZATION'), (' ', 'O'), ('모집합니다', 'O')]"
15,2009.04.05. 오후 6:35,4월 6일 부동산 파일,"[('4월 6일', 'DATE'), (' ', 'O'), ('부동산', 'O'), (' ', 'O'), ('파일', 'O')]"
16,2009.04.05. 오후 6:05,강남권은 더 오르고 비강남권은 더 내리고,"[('강남권', 'LOCATION'), ('은', 'O'), (' ', 'O'), ('더', 'O'), (' ', 'O'), ('오르고', 'O'), (' ', 'O'), ('비', 'O'), ('강남권', 'LOCATION'), ('은', 'O'), (' ', 'O'), ('더', 'O'), (' ', 'O'), ('내리고', 'O')]"
17,2009.04.05. 오후 5:27,1분기 전국 아파트 분양 계획의 20%도 못 미쳐,"[('1분기', 'DATE'), (' ', 'O'), ('전국', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('분양', 'O'), (' ', 'O'), ('계획의', 'O'), (' ', 'O'), ('20%', 'QUANTITY'), ('도', 'O'), (' ', 'O'), ('못', 'O'), (' ', 'O'), ('미쳐', 'O')]"
18,2009.04.05. 오후 5:21,분양하이라이트 8일 성수동 대명루첸 청약 접수,"[('분양하이라이트', 'O'), (' ', 'O'), ('8일', 'DATE'), (' ', 'O'), ('성수동', 'LOCATION'), (' ', 'O'), ('대명루첸', 'ARTIFACT'), (' ', 'O'), ('청약', 'O'), (' ', 'O'), ('접수', 'O')]"
19,2009.04.05. 오후 5:21,상암지구 서울 라이트 효과로 들썩,"[('상암지구', 'LOCATION'), (' ', 'O'), ('서울', 'CITY'), (' ', 'O'), ('라이트', 'O'), (' ', 'O'), ('효과로', 'O'), (' ', 'O'), ('들썩', 'O')]"
20,2009.04.05. 오후 5:21,국토해양 통계포털 6일부터 시범운영,"[('국토해양 통계포털', 'TERM'), (' ', 'O'), ('6일부터', 'DATE'), (' ', 'O'), ('시범운영', 'O')]"
21,2009.04.05. 오후 5:21,공익목적 무인도 개발사업 승인 절차 간소화,"[('공익목적', 'O'), (' ', 'O'), ('무인도 개발사업', 'TERM'), (' ', 'O'), ('승인', 'O'), (' ', 'O'), ('절차', 'O'), (' ', 'O'), ('간소화', 'O')]"
22,2009.04.05. 오후 5:18,北로켓발사 부동산시장 영향은,"[('北', 'LOCATION'), ('로켓', 'ARTIFACT'), ('발사', 'O'), (' ', 'O'), ('부동산시장', 'O'), (' ', 'O'), ('영향은', 'O')]"
23,2009.04.05. 오후 5:18,지방 분양시장 백약이 무효,"[('지방', 'O'), (' ', 'O'), ('분양시장', 'O'), (' ', 'O'), ('백약이', 'O'), (' ', 'O'), ('무효', 'O')]"
24,2009.04.05. 오후 5:16,국토해양통계 한눈에..포털 6일부터 시범운영,"[('국토해양통계', 'O'), (' ', 'O'), ('한눈에..포털', 'O'), (' ', 'O'), ('6일부터', 'DATE'), (' ', 'O'), ('시범운영', 'O')]"
25,2009.04.05. 오후 5:16,동탄 주변 ‘보상금 효과’ 들썩,"[('동탄', 'LOCATION'), (' ', 'O'), ('주변', 'O'), (' ', 'O'), ('‘보상금', 'O'), (' ', 'O'), ('효과’', 'O'), (' ', 'O'), ('들썩', 'O')]"
26,2009.04.05. 오후 5:15,캠코 압류재산 142건 306억 온비드 공매,"[('캠코', 'ORGANIZATION'), (' ', 'O'), ('압류재산', 'O'), (' ', 'O'), ('142건', 'QUANTITY'), (' ', 'O'), ('306억', 'QUANTITY'), (' ', 'O'), ('온비드', 'TERM'), (' ', 'O'), ('공매', 'O')]"
27,2009.04.05. 오후 5:14,인천 청라·송도 분양가뭄에 ‘단비’,"[('인천', 'CITY'), (' ', 'O'), ('청라', 'LOCATION'), ('·', 'O'), ('송도', 'LOCATION'), (' ', 'O'), ('분양가뭄에', 'O'), (' ', 'O'), ('‘단비’', 'O')]"
28,2009.04.05. 오후 5:11,전세시황 소형위주 거래 활발… 도봉 0.21% 올라,"[('전세시황', 'O'), (' ', 'O'), ('소형위주', 'O'), (' ', 'O'), ('거래', 'O'), (' ', 'O'), ('활발…', 'O'), (' ', 'O'), ('도봉', 'LOCATION'), (' ', 'O'), ('0.21%', 'QUANTITY'), (' ', 'O'), ('올라', 'O')]"
29,2009.04.05. 오후 5:11,매매시황 서울 2주 연속 상승… 강동 0.44% ‘껑충’,"[('매매시황', 'O'), (' ', 'O'), ('서울', 'CITY'), (' ', 'O'), ('2주', 'DATE'), (' ', 'O'), ('연속', 'O'), (' ', 'O'), ('상승…', 'O'), (' ', 'O'), ('강동', 'LOCATION'), (' ', 'O'), ('0.44%', 'QUANTITY'), (' ', 'O'), ('‘껑충’', 'O')]"
30,2009.04.05. 오후 4:48,서울 아파트 가격차 확대,"[('서울', 'CITY'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('가격차', 'O'), (' ', 'O'), ('확대', 'O')]"
31,2009.04.05. 오후 4:27,강남권 재건축 일제히 상승,"[('강남권', 'LOCATION'), (' ', 'O'), ('재건축', 'O'), (' ', 'O'), ('일제히', 'O'), (' ', 'O'), ('상승', 'O')]"
32,2009.04.05. 오후 4:21,고층 아파트 재건축 사업 지지부진,"[('고층', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('재건축', 'O'), (' ', 'O'), ('사업', 'O'), (' ', 'O'), ('지지부진', 'O')]"
33,2009.04.05. 오후 4:18,용적률 최고 250%··· 고덕·개포 지구 햇살,"[('용적률', 'O'), (' ', 'O'), ('최고', 'O'), (' ', 'O'), ('250%', 'QUANTITY'), ('···', 'O'), (' ', 'O'), ('고덕', 'LOCATION'), ('·', 'O'), ('개포', 'LOCATION'), (' ', 'O'), ('지구', 'LOCATION'), (' ', 'O'), ('햇살', 'O')]"
34,2009.04.05. 오후 4:16,해외건설 계약취소속 신규개척 눈에 띠네,"[('해외건설', 'O'), (' ', 'O'), ('계약취소속', 'O'), (' ', 'O'), ('신규개척', 'O'), (' ', 'O'), ('눈', 'ANIMAL'), ('에', 'O'), (' ', 'O'), ('띠네', 'O')]"
35,2009.04.05. 오후 4:16,현진 시흥 우방유쉘 승계 시공,"[('현진', 'O'), (' ', 'O'), ('시흥', 'LOCATION'), (' ', 'O'), ('우방유쉘', 'ORGANIZATION'), (' ', 'O'), ('승계', 'O'), (' ', 'O'), ('시공', 'O')]"
36,2009.04.05. 오후 4:15,공익목적 무인도서 개발 先 사업승인 後 법적절차,"[('공익목적', 'O'), (' ', 'O'), ('무인도서', 'O'), (' ', 'O'), ('개발', 'O'), (' ', 'O'), ('先', 'O'), (' ', 'O'), ('사업승인', 'O'), (' ', 'O'), ('後', 'O'), (' ', 'O'), ('법적절차', 'O')]"
37,2009.04.05. 오후 4:14,부동산 기상도 ‘집값 상승세’ 강남이어 수도권 남부로 확산,"[('부동산', 'O'), (' ', 'O'), ('기상도', 'O'), (' ', 'O'), ('‘집값', 'O'), (' ', 'O'), ('상승세’', 'O'), (' ', 'O'), ('강남', 'LOCATION'), ('이어', 'O'), (' ', 'O'), ('수도권', 'LOCATION'), (' ', 'O'), ('남부', 'TERM'), ('로', 'O'), (' ', 'O'), ('확산', 'O')]"
