,date,headline,keyword
0,2017.07.09. 오후 9:13,뉴타운 대형 건설 브랜드 단지 몰린 ‘강북’이 달아오른다,"[('뉴타운', 'O'), (' ', 'O'), ('대형', 'O'), (' ', 'O'), ('건설', 'O'), (' ', 'O'), ('브랜드', 'O'), (' ', 'O'), ('단지', 'O'), (' ', 'O'), ('몰린', 'O'), (' ', 'O'), ('‘', 'O'), ('강북', 'LOCATION'), ('’이', 'O'), (' ', 'O'), ('달아오른다', 'O')]"
1,2017.07.09. 오후 9:13,‘사천 KCC 스위첸’ 1738가구 이달 분양,"[('‘', 'O'), ('사천 KCC 스위첸', 'ARTIFACT'), ('’', 'O'), (' ', 'O'), ('1738가구', 'QUANTITY'), (' ', 'O'), ('이달', 'DATE'), (' ', 'O'), ('분양', 'O')]"
2,2017.07.09. 오후 9:11,한화건설 기술혁신 등 공헌 30곳 선정 ‘우수 협력사 간담회’,"[('한화건설', 'ORGANIZATION'), (' ', 'O'), ('기술혁신', 'O'), (' ', 'O'), ('등', 'O'), (' ', 'O'), ('공헌', 'O'), (' ', 'O'), ('30곳', 'QUANTITY'), (' ', 'O'), ('선정', 'O'), (' ', 'O'), ('‘우수', 'O'), (' ', 'O'), ('협력사', 'O'), (' ', 'O'), ('간담회’', 'O')]"
3,2017.07.09. 오후 9:00,주춤했던 시장 재개… 서울 아파트값 상승폭 확대,"[('주춤했던', 'O'), (' ', 'O'), ('시장', 'O'), (' ', 'O'), ('재개…', 'O'), (' ', 'O'), ('서울', 'CITY'), (' ', 'O'), ('아파트값', 'O'), (' ', 'O'), ('상승폭', 'O'), (' ', 'O'), ('확대', 'O')]"
4,2017.07.09. 오후 8:53,검찰 일감청탁 뇌물 챙긴 아파트 재건축조합 이사 구속,"[('검찰', 'ORGANIZATION'), (' ', 'O'), ('일감청탁', 'O'), (' ', 'O'), ('뇌물', 'O'), (' ', 'O'), ('챙긴', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('재건축조합', 'O'), (' ', 'O'), ('이사', 'CIVILIZATION'), (' ', 'O'), ('구속', 'O')]"
5,2017.07.09. 오후 7:54,기업 자율성 보장투명경영 유도…절충형 상법 개정안 발의된다,"[('기업', 'O'), (' ', 'O'), ('자율성', 'O'), (' ', 'O'), ('보장투명경영', 'O'), (' ', 'O'), ('유도…절충형', 'O'), (' ', 'O'), ('상법', 'CIVILIZATION'), (' ', 'O'), ('개정안', 'O'), (' ', 'O'), ('발의된다', 'O')]"
6,2017.07.09. 오후 7:39,박지원 두산중공업 회장 에너지 테크포럼 개최,"[('박지원', 'PERSON'), (' ', 'O'), ('두산중공업', 'ORGANIZATION'), (' ', 'O'), ('회장', 'OCCUPATION'), (' ', 'O'), ('에너지', 'O'), (' ', 'O'), ('테크포럼', 'O'), (' ', 'O'), ('개최', 'O')]"
7,2017.07.09. 오후 7:38,부영그룹 파라과이에 디지털피아노 1000대 기증,"[('부영그룹', 'ORGANIZATION'), (' ', 'O'), ('파라과이', 'COUNTRY'), ('에', 'O'), (' ', 'O'), ('디지털피아노', 'TERM'), (' ', 'O'), ('1000대', 'QUANTITY'), (' ', 'O'), ('기증', 'O')]"
8,2017.07.09. 오후 7:36,참여정부 주택수급 예측 실패…문재인 정부 반면교사 삼아야,"[('참여정부', 'ORGANIZATION'), (' ', 'O'), ('주택수급', 'O'), (' ', 'O'), ('예측', 'O'), (' ', 'O'), ('실패…', 'O'), ('문재인', 'PERSON'), (' ', 'O'), ('정부', 'ORGANIZATION'), (' ', 'O'), ('반면교사', 'O'), (' ', 'O'), ('삼아야', 'O')]"
9,2017.07.09. 오후 7:34,평택·화성·구로 등 9000가구 공급,"[('평택', 'LOCATION'), ('·', 'O'), ('화성', 'LOCATION'), ('·', 'O'), ('구로', 'LOCATION'), (' ', 'O'), ('등', 'O'), (' ', 'O'), ('9000가구', 'QUANTITY'), (' ', 'O'), ('공급', 'O')]"
10,2017.07.09. 오후 7:34,입주단지를 찾아서 대우건설 서울 용산구 ‘용산 푸르지오 써밋’,"[('입주단지를', 'O'), (' ', 'O'), ('찾아서', 'O'), (' ', 'O'), ('대우건설', 'ORGANIZATION'), (' ', 'O'), ('서울', 'CITY'), (' ', 'O'), ('용산구', 'LOCATION'), (' ', 'O'), ('‘', 'O'), ('용산 푸르지오 써밋', 'ARTIFACT'), ('’', 'O')]"
11,2017.07.09. 오후 7:34,금주의 분양일정 분양시장은 활기 8272가구 봇물,"[('금', 'DATE'), ('주의', 'O'), (' ', 'O'), ('분양일정', 'O'), (' ', 'O'), ('분양시장은', 'O'), (' ', 'O'), ('활기', 'O'), (' ', 'O'), ('8272가구', 'QUANTITY'), (' ', 'O'), ('봇물', 'O')]"
12,2017.07.09. 오후 7:32,지방 광역시도 분양권 거래 급증…11·3대책 후 6개월간 2만여건,"[('지방', 'O'), (' ', 'O'), ('광역시도', 'O'), (' ', 'O'), ('분양권', 'O'), (' ', 'O'), ('거래', 'O'), (' ', 'O'), ('급증…', 'O'), ('11·3대책', 'EVENT'), (' ', 'O'), ('후', 'O'), (' ', 'O'), ('6개월간', 'DATE'), (' ', 'O'), ('2만여건', 'QUANTITY')]"
13,2017.07.09. 오후 7:30,LH·LG전자·대전시 태양광에너지 보급 나선다,"[('LH', 'ORGANIZATION'), ('·', 'O'), ('LG전자', 'ORGANIZATION'), ('·', 'O'), ('대전시', 'CITY'), (' ', 'O'), ('태양광에너지', 'TERM'), (' ', 'O'), ('보급', 'O'), (' ', 'O'), ('나선다', 'O')]"
14,2017.07.09. 오후 7:29,삼성물산 등 신고리 5·6호기 시공 3개사 한수원의 공사 일시중단 요청에  절차상 문제제기,"[('삼성물산', 'ORGANIZATION'), (' ', 'O'), ('등', 'O'), (' ', 'O'), ('신고리', 'ARTIFACT'), (' ', 'O'), ('5·6호기', 'QUANTITY'), (' ', 'O'), ('시공', 'O'), (' ', 'O'), ('3개사', 'QUANTITY'), (' ', 'O'), ('한수원', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('공사', 'O'), (' ', 'O'), ('일시중단', 'O'), (' ', 'O'), ('요청에', 'O'), (' ', 'O'), ('절차상', 'O'), (' ', 'O'), ('문제제기', 'O')]"
15,2017.07.09. 오후 7:21,신고리 5·6호기 중단에 건설사 반발…법적근거·보상 불명확,"[('신고리', 'ARTIFACT'), (' ', 'O'), ('5·6호기', 'QUANTITY'), (' ', 'O'), ('중단에', 'O'), (' ', 'O'), ('건설사', 'O'), (' ', 'O'), ('반발…법적근거·보상', 'O'), (' ', 'O'), ('불명확', 'O')]"
