,date,headline,keyword
0,2012.07.22. 오후 9:30,한여름 ‘아파트 분양’ 큰 장 선다,"[('한여름', 'DATE'), (' ', 'O'), ('‘아파트', 'O'), (' ', 'O'), ('분양’', 'O'), (' ', 'O'), ('큰', 'O'), (' ', 'O'), ('장', 'O'), (' ', 'O'), ('선다', 'O')]"
1,2012.07.22. 오후 9:30,4대강 사업비 보전 위해 서민주택 건설 포기,"[('4대강 사업', 'TERM'), ('비', 'O'), (' ', 'O'), ('보전', 'O'), (' ', 'O'), ('위해', 'O'), (' ', 'O'), ('서민주택', 'O'), (' ', 'O'), ('건설', 'O'), (' ', 'O'), ('포기', 'O')]"
2,2012.07.22. 오후 9:30,새 입주단지 전셋값 최대 3천만원 싸다,"[('새', 'O'), (' ', 'O'), ('입주단지', 'O'), (' ', 'O'), ('전셋값', 'O'), (' ', 'O'), ('최대', 'O'), (' ', 'O'), ('3천만원', 'QUANTITY'), (' ', 'O'), ('싸다', 'O')]"
3,2012.07.22. 오후 8:45,얼어붙은 부동산시장…급매물도 전세도 한산,"[('얼어붙은', 'O'), (' ', 'O'), ('부동산시장…급매물도', 'O'), (' ', 'O'), ('전세도', 'O'), (' ', 'O'), ('한산', 'O')]"
4,2012.07.22. 오후 7:55,전세시황 장마철 이주수요 주춤… 대체로 약보합세 지속,"[('전세시황', 'O'), (' ', 'O'), ('장마철', 'DATE'), (' ', 'O'), ('이주수요', 'O'), (' ', 'O'), ('주춤…', 'O'), (' ', 'O'), ('대체로', 'O'), (' ', 'O'), ('약보합세', 'O'), (' ', 'O'), ('지속', 'O')]"
5,2012.07.22. 오후 7:55,매매시황 매수 심리 위축 속 거래 부진… 하락세 이어가,"[('매매시황', 'O'), (' ', 'O'), ('매수', 'O'), (' ', 'O'), ('심리', 'O'), (' ', 'O'), ('위축', 'O'), (' ', 'O'), ('속', 'O'), (' ', 'O'), ('거래', 'O'), (' ', 'O'), ('부진…', 'O'), (' ', 'O'), ('하락세', 'O'), (' ', 'O'), ('이어가', 'O')]"
6,2012.07.22. 오후 7:08,안성공도 임대주택단지에 희망마을센터 세워진다,"[('안성공도', 'LOCATION'), (' ', 'O'), ('임대주택단지에', 'O'), (' ', 'O'), ('희망마을센터', 'ORGANIZATION'), (' ', 'O'), ('세워진다', 'O')]"
7,2012.07.22. 오후 7:05,가락시영發 전세난 오나,"[('가락시영', 'LOCATION'), ('發', 'O'), (' ', 'O'), ('전세난', 'O'), (' ', 'O'), ('오나', 'O')]"
8,2012.07.22. 오후 6:49,강남 중개업소 DTI 찔끔찔끔 완화해서 될일인가,"[('강남', 'LOCATION'), (' ', 'O'), ('중개업소', 'O'), (' ', 'O'), ('DTI', 'O'), (' ', 'O'), ('찔끔찔끔', 'O'), (' ', 'O'), ('완화해서', 'O'), (' ', 'O'), ('될일인가', 'O')]"
9,2012.07.22. 오후 6:33,내수 활성화 민관 끝장 토론 자산 많은 은퇴자 대출 제한 풀린다,"[('내수', 'O'), (' ', 'O'), ('활성화', 'O'), (' ', 'O'), ('민관', 'O'), (' ', 'O'), ('끝장', 'O'), (' ', 'O'), ('토론', 'O'), (' ', 'O'), ('자산', 'O'), (' ', 'O'), ('많은', 'O'), (' ', 'O'), ('은퇴자', 'CIVILIZATION'), (' ', 'O'), ('대출', 'O'), (' ', 'O'), ('제한', 'O'), (' ', 'O'), ('풀린다', 'O')]"
