,date,headline,keyword
0,2011.11.27. 오후 8:34,위례신도시 첫 토지공급 시작,"[('위례신도시', 'LOCATION'), (' ', 'O'), ('첫', 'O'), (' ', 'O'), ('토지공급', 'O'), (' ', 'O'), ('시작', 'O')]"
1,2011.11.27. 오후 8:33,국토부 전국 지하철 안전관리 특별점검,"[('국토부', 'ORGANIZATION'), (' ', 'O'), ('전국', 'O'), (' ', 'O'), ('지하철', 'ARTIFACT'), (' ', 'O'), ('안전관리', 'O'), (' ', 'O'), ('특별점검', 'O')]"
2,2011.11.27. 오후 8:33,10월 주택 인허가ㆍ분양물량 대폭 증가,"[('10월', 'DATE'), (' ', 'O'), ('주택', 'O'), (' ', 'O'), ('인허가ㆍ분양물량', 'O'), (' ', 'O'), ('대폭', 'O'), (' ', 'O'), ('증가', 'O')]"
3,2011.11.27. 오후 8:18,보고 즐기는 아파트 인기,"[('보고', 'O'), (' ', 'O'), ('즐기는', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('인기', 'O')]"
4,2011.11.27. 오후 8:18,서울아파트값 34주 연속 잠잠,"[('서울', 'CITY'), ('아파트값', 'O'), (' ', 'O'), ('34주', 'DATE'), (' ', 'O'), ('연속', 'O'), (' ', 'O'), ('잠잠', 'O')]"
5,2011.11.27. 오후 7:40,꿈쩍않던 서울 아파트값 17주만에 하락세,"[('꿈쩍않던', 'O'), (' ', 'O'), ('서울', 'CITY'), (' ', 'O'), ('아파트값', 'O'), (' ', 'O'), ('17주만', 'DATE'), ('에', 'O'), (' ', 'O'), ('하락세', 'O')]"
6,2011.11.27. 오후 7:20,LH 위례 최초 중대형 아파트 택지 공급,"[('LH', 'ORGANIZATION'), (' ', 'O'), ('위례', 'LOCATION'), (' ', 'O'), ('최초', 'O'), (' ', 'O'), ('중대형', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('택지', 'O'), (' ', 'O'), ('공급', 'O')]"
7,2011.11.27. 오후 6:32,국토부ㆍ서울시 재건축 난타전에 시장 초긴장,"[('국토부', 'ORGANIZATION'), ('ㆍ', 'O'), ('서울시', 'CITY'), (' ', 'O'), ('재건축', 'O'), (' ', 'O'), ('난타전에', 'O'), (' ', 'O'), ('시장', 'CIVILIZATION'), (' ', 'O'), ('초긴장', 'O')]"
8,2011.11.27. 오후 6:32,연내 세제 감면 종료…稅테크 마케팅 활발,"[('연내', 'DATE'), (' ', 'O'), ('세제', 'O'), (' ', 'O'), ('감면', 'O'), (' ', 'O'), ('종료…稅테크', 'O'), (' ', 'O'), ('마케팅', 'O'), (' ', 'O'), ('활발', 'O')]"
9,2011.11.27. 오후 6:32,위례 중대형 아파트 용지 6필지 첫 공급,"[('위례', 'LOCATION'), (' ', 'O'), ('중대형', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('용지', 'O'), (' ', 'O'), ('6필지', 'QUANTITY'), (' ', 'O'), ('첫', 'O'), (' ', 'O'), ('공급', 'O')]"
