,date,headline,keyword
0,2011.11.13. 오후 8:46,비수기 수요 감소로 수도권 전지역 내림세,"[('비수기', 'O'), (' ', 'O'), ('수요', 'O'), (' ', 'O'), ('감소로', 'O'), (' ', 'O'), ('수도권', 'LOCATION'), (' ', 'O'), ('전지역', 'O'), (' ', 'O'), ('내림세', 'O')]"
1,2011.11.13. 오후 8:33,아파트시장 하향평준화 뚜렷,"[('아파트시장', 'O'), (' ', 'O'), ('하향평준화', 'O'), (' ', 'O'), ('뚜렷', 'O')]"
2,2011.11.13. 오후 8:33,공공기관 인근 아파트 인기 높네,"[('공공기관', 'O'), (' ', 'O'), ('인근', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('인기', 'O'), (' ', 'O'), ('높네', 'O')]"
3,2011.11.13. 오후 8:33,수도권 아파트 매매 문워크…전세는 하향 안정화,"[('수도권', 'LOCATION'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('매매', 'O'), (' ', 'O'), ('문워크…전세는', 'O'), (' ', 'O'), ('하향', 'O'), (' ', 'O'), ('안정화', 'O')]"
4,2011.11.13. 오후 8:24,도시재정비 출구전략 아이디어 쏟아져,"[('도시재정비', 'O'), (' ', 'O'), ('출구전략', 'O'), (' ', 'O'), ('아이디어', 'O'), (' ', 'O'), ('쏟아져', 'O')]"
5,2011.11.13. 오후 8:24,유성 푸르지오시티 21∼22일 청약 접수,"[('유성 푸르지오시티', 'ARTIFACT'), (' ', 'O'), ('21∼22일', 'DATE'), (' ', 'O'), ('청약', 'O'), (' ', 'O'), ('접수', 'O')]"
6,2011.11.13. 오후 8:23,판교신도시 중소형，경매시장서 ‘귀한 몸’,"[('판교신도시', 'LOCATION'), (' ', 'O'), ('중소형，경매시장서', 'O'), (' ', 'O'), ('‘귀한', 'O'), (' ', 'O'), ('몸', 'ANIMAL'), ('’', 'O')]"
7,2011.11.13. 오후 8:22,고시텔 ‘편법 중개’ 기승,"[('고시텔', 'ARTIFACT'), (' ', 'O'), ('‘편법', 'O'), (' ', 'O'), ('중개’', 'O'), (' ', 'O'), ('기승', 'O')]"
8,2011.11.13. 오후 8:22,한강변 집값 보름 새 최고 1억 하락,"[('한강변', 'LOCATION'), (' ', 'O'), ('집값', 'O'), (' ', 'O'), ('보름', 'DATE'), (' ', 'O'), ('새', 'O'), (' ', 'O'), ('최고', 'O'), (' ', 'O'), ('1억', 'QUANTITY'), (' ', 'O'), ('하락', 'O')]"
9,2011.11.13. 오후 8:07,강남 재건축 朴시장에 물어봐…압구정 5000만원 급락,"[('강남', 'LOCATION'), (' ', 'O'), ('재건축', 'O'), (' ', 'O'), ('朴시장에', 'O'), (' ', 'O'), ('물어봐…', 'O'), ('압구정', 'LOCATION'), (' ', 'O'), ('5000만원', 'QUANTITY'), (' ', 'O'), ('급락', 'O')]"
10,2011.11.13. 오후 7:56,대치동 은마아파트 5598가구로 재건축,"[('대치동', 'LOCATION'), (' ', 'O'), ('은마아파트', 'ARTIFACT'), (' ', 'O'), ('5598가구', 'QUANTITY'), ('로', 'O'), (' ', 'O'), ('재건축', 'O')]"
11,2011.11.13. 오후 7:21,은마아파트 5598가구 재건축,"[('은마아파트', 'ARTIFACT'), (' ', 'O'), ('5598가구', 'QUANTITY'), (' ', 'O'), ('재건축', 'O')]"
12,2011.11.13. 오후 7:16,철도공단 저가낙찰 현장  사고율 2배..안전관리 강화,"[('철도공단', 'ORGANIZATION'), (' ', 'O'), ('저가낙찰', 'O'), (' ', 'O'), ('현장', 'O'), (' ', 'O'), ('사고율', 'O'), (' ', 'O'), ('2배', 'QUANTITY'), ('..안전관리', 'O'), (' ', 'O'), ('강화', 'O')]"
13,2011.11.13. 오후 7:07,은마아파트 최고 49층 5598가구로 재건축,"[('은마아파트', 'ARTIFACT'), (' ', 'O'), ('최고', 'O'), (' ', 'O'), ('49층', 'QUANTITY'), (' ', 'O'), ('5598가구', 'QUANTITY'), ('로', 'O'), (' ', 'O'), ('재건축', 'O')]"
14,2011.11.13. 오후 7:07,SBA  이색 창업토크쇼 연다,"[('SBA', 'ORGANIZATION'), (' ', 'O'), ('이색', 'O'), (' ', 'O'), ('창업토크쇼', 'O'), (' ', 'O'), ('연다', 'O')]"
15,2011.11.13. 오후 6:53,겉도는 혁신도시 재원확보 12%뿐,"[('겉도는', 'O'), (' ', 'O'), ('혁신도시', 'O'), (' ', 'O'), ('재원확보', 'O'), (' ', 'O'), ('12%', 'QUANTITY'), ('뿐', 'O')]"
16,2011.11.13. 오후 6:46,은마 재건축 일반분양 160가구ㆍ시프트 1008가구,"[('은마', 'LOCATION'), (' ', 'O'), ('재건축', 'O'), (' ', 'O'), ('일반분양', 'O'), (' ', 'O'), ('160가구', 'QUANTITY'), ('ㆍ시프트', 'O'), (' ', 'O'), ('1008가구', 'QUANTITY')]"
