,date,headline,keyword
0,2007.07.15. 오후 8:53,알제리 부이난신도시 내년 1월 착공,"[('알제리', 'COUNTRY'), (' ', 'O'), ('부이난신도시', 'LOCATION'), (' ', 'O'), ('내년 1월', 'DATE'), (' ', 'O'), ('착공', 'O')]"
1,2007.07.15. 오후 8:36,분양정보 의정부 아크라티움 84가구,"[('분양정보', 'O'), (' ', 'O'), ('의정부', 'LOCATION'), (' ', 'O'), ('아크라티움', 'ARTIFACT'), (' ', 'O'), ('84가구', 'QUANTITY')]"
2,2007.07.15. 오후 8:30,분양정보 신도림 디큐브시티 20일 분양,"[('분양정보', 'O'), (' ', 'O'), ('신도림 디큐브시티', 'ARTIFACT'), (' ', 'O'), ('20일', 'DATE'), (' ', 'O'), ('분양', 'O')]"
3,2007.07.15. 오후 8:00,타워팰리스 1채값 최저 아파트 97배,"[('타워팰리스', 'ARTIFACT'), (' ', 'O'), ('1채', 'QUANTITY'), ('값', 'O'), (' ', 'O'), ('최저', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('97배', 'QUANTITY')]"
4,2007.07.15. 오후 7:07,미분양 6만가구 “떨이요∼” … 건설사들 미분양 아파트 털어내기 부심,"[('미분양', 'O'), (' ', 'O'), ('6만가구', 'QUANTITY'), ('""떨이요∼""…', 'O'), (' ', 'O'), ('건설사들', 'O'), (' ', 'O'), ('미분양', 'O'), (' ', 'O'), ('아파트', 'O'), (' ', 'O'), ('털어내기', 'O'), (' ', 'O'), ('부심', 'O')]"
5,2007.07.15. 오후 6:41,서울시 부동산업무 직원에 금지령 발동,"[('서울시', 'CITY'), (' ', 'O'), ('부동산업무', 'O'), (' ', 'O'), ('직원', 'OCCUPATION'), ('에', 'O'), (' ', 'O'), ('금지령', 'O'), (' ', 'O'), ('발동', 'O')]"
6,2007.07.15. 오후 6:32,송파.용인 흥덕도 비축용 임대 공급,"[('송파', 'LOCATION'), ('.', 'O'), ('용인', 'CITY'), (' ', 'O'), ('흥덕도', 'LOCATION'), (' ', 'O'), ('비축용', 'O'), (' ', 'O'), ('임대', 'O'), (' ', 'O'), ('공급', 'O')]"
7,2007.07.15. 오후 6:30,대덕테크노밸리 우림필유 생태호수 장관,"[('대덕테크노밸리', 'LOCATION'), (' ', 'O'), ('우림필유', 'ORGANIZATION'), (' ', 'O'), ('생태호수', 'O'), (' ', 'O'), ('장관', 'OCCUPATION')]"
8,2007.07.15. 오후 6:27,집값 담합아파트 95%， 1년전보다 더 올라,"[('집값', 'O'), (' ', 'O'), ('담합아파트', 'O'), (' ', 'O'), ('95%', 'QUANTITY'), ('，', 'O'), (' ', 'O'), ('1년전', 'DATE'), ('보다', 'O'), (' ', 'O'), ('더', 'O'), (' ', 'O'), ('올라', 'O')]"
9,2007.07.15. 오후 6:27,청약저축 ‘송도’―부금 ‘청라’ 유리,"[('청약저축', 'O'), (' ', 'O'), ('‘', 'O'), ('송도', 'LOCATION'), ('’―부금', 'O'), (' ', 'O'), ('‘', 'O'), ('청라', 'LOCATION'), ('’', 'O'), (' ', 'O'), ('유리', 'O')]"
10,2007.07.15. 오후 6:27,이번주 분양일정 7월16일∼20일,"[('이번주', 'DATE'), (' ', 'O'), ('분양일정', 'O'), (' ', 'O'), ('7월16일∼20일', 'DATE')]"
11,2007.07.15. 오후 6:17,분양 대치동 하늘도시 상가 분양,"[('분양', 'O'), (' ', 'O'), ('대치동', 'LOCATION'), (' ', 'O'), ('하늘도시', 'ARTIFACT'), (' ', 'O'), ('상가', 'O'), (' ', 'O'), ('분양', 'O')]"
12,2007.07.15. 오후 6:17,분양 강남역 메디컬 빌딩 분양,"[('분양', 'O'), (' ', 'O'), ('강남역', 'LOCATION'), (' ', 'O'), ('메디컬 빌딩', 'ARTIFACT'), (' ', 'O'), ('분양', 'O')]"
13,2007.07.15. 오후 6:17,분양 신도종합건설 의정부 주상복합 분양,"[('분양', 'O'), (' ', 'O'), ('신도종합건설', 'ORGANIZATION'), (' ', 'O'), ('의정부', 'LOCATION'), (' ', 'O'), ('주상복합', 'O'), (' ', 'O'), ('분양', 'O')]"
14,2007.07.15. 오후 6:17,대덕테크노밸리 우림필유 입주,"[('대덕테크노밸리', 'LOCATION'), (' ', 'O'), ('우림필유', 'ORGANIZATION'), (' ', 'O'), ('입주', 'O')]"
15,2007.07.15. 오후 6:17,휴가철 달구는 대규모 복합단지 분양,"[('휴가철', 'O'), (' ', 'O'), ('달구는', 'O'), (' ', 'O'), ('대규모', 'O'), (' ', 'O'), ('복합단지', 'O'), (' ', 'O'), ('분양', 'O')]"
